Date,Name of Species,Small (in Rs.),Medium (in Rs.),Large (in Rs.)
12/1/2022,Black pomfret,743.34,0,0
12/1/2022,Blue Swimming Crab,654.14,0,0
12/1/2022,Bombay duck,345.95,0,0
12/1/2022,Flower tail prawn,608.01,0,0
12/1/2022,Four finger thread fin,555.39,0,0
12/1/2022,Frigate tuna,394.74,0,0
12/1/2022,Giant catfish,579.68,0,0
12/1/2022,Giant tiger prawn,511.52,0,0
12/1/2022,Gold spot mullet,532.44,0,0
12/1/2022,Gold spotted granadier anchovy,262.04,0,0
12/1/2022,Greasy grouper,566.55,0,0
12/1/2022,Green mud crab,682.7,0,0
12/1/2022,Grey mullet,482.22,0,0
12/1/2022,Hound needle fish,540.69,0,0
12/1/2022,Indian mackerel,465.44,0,0
12/1/2022,Indian squid,543.43,0,0
12/1/2022,Indian white prawn,554.07,0,0
12/1/2022,Indo-pacific seer fish,1017.49,0,0
12/1/2022,Japanese threadfin bream,428.11,0,0
12/1/2022,Jinga prawn,504.31,0,0
12/1/2022,John\'s snapper,631.87,0,0
12/1/2022,Kiddi shrimp,412.17,0,0
12/1/2022,Little tuna,524.33,0,0
12/1/2022,Long tail tuna,470.98,0,0
12/1/2022,Malabar anchovy,380.78,0,0
12/1/2022,Malabar blood snapper,528.11,0,0
12/1/2022,Malabar grouper,522.88,0,0
12/1/2022,Narrow-barred spanish mackerel,1036.1,0,0
12/1/2022,Pearl Spot,381.4,0,0
12/1/2022,Silver pomfret,639.12,0,0
12/1/2022,Small head hairtail,317.89,0,0
12/1/2022,Spineless cuttle fish,545.94,0,0
12/1/2022,Spiny cheek grouper,616.92,0,0
12/1/2022,Spotted crab,566.33,0,0
12/1/2022,Spotted eagle ray,587.8,0,0
13/1/2022,Asian Seabass,780.92,0,0
13/1/2022,Big eye trevally,608.55,0,0
13/1/2022,Black barred half beak,605.47,0,0
13/1/2022,Black pomfret,730.36,0,0
13/1/2022,Blue Swimming Crab,649.75,0,0
13/1/2022,Bombay duck,352.1,0,0
13/1/2022,Flower tail prawn,627.77,0,0
13/1/2022,Four finger thread fin,585.19,0,0
13/1/2022,Frigate tuna,415.65,0,0
13/1/2022,Giant catfish,602.32,0,0
13/1/2022,Giant tiger prawn,498.84,0,0
13/1/2022,Gold spot mullet,550.21,0,0
13/1/2022,Gold spotted granadier anchovy,273.36,0,0
